30000 30000 30000 30000
the 47760 61081 43218 45097
a 29637 24298 23896 24871
to 24585 22218 23082 25343
of 25841 18467 20693 23851
in 24748 19930 18575 14619
and 16847 14884 16367 17735
on 13311 10556 13470 9680
it 5987 4849 15368 13759
for 8421 10370 9268 9716
39 5545 8991 8048 5424
that 6700 4465 7222 9233
with 5149 7116 4274 6032
as 5176 4933 6983 4648
at 5157 7862 3874 3781
is 3942 4178 4457 7299
said 7578 1484 7182 3583
by 4878 3430 5377 4887
ha 4420 3817 4026 5966
new 2613 3551 5761 5288
an 5534 3308 3405 4154
from 4095 3255 4336 3991
hi 4689 7542 1187 952
will 2166 3298 3734 4368
us 4025 1112 6544 1845
wa 4318 5205 2112 1726
reuter 3972 1427 5615 1967
after 3597 3996 3381 1408
be 2934 3284 2205 3803
have 3060 2684 1919 3466
their 2409 3646 1702 2433
year 1881 2332 3262 2553
compani 406 83 5156 3869
are 2082 1522 1904 3560
over 1956 3570 1786 1506
he 2427 4511 858 712
ap 2948 3145 241 2039
but 1765 2262 2076 2135
two 2916 2430 1249 1450
first 1416 3481 1214 1806
thi 1269 2353 1641 2422
more 1875 1059 2259 2350
monday 2127 1478 2573 1200
world 1119 2593 1938 1689
wednesday 2040 1621 2528 1104
tuesday 1936 1434 2501 1367
thursday 2009 1442 2448 1220
inc 68 10 4329 2307
up 1447 1454 1879 1896
friday 1954 1576 2312 818
one 1479 2458 985 1653
report 1763 434 2750 1439
week 1512 1500 1597 1594
yesterday 1871 1667 1965 603
state 2287 1515 1380 871
last 1171 2661 1249 962
game 157 4251 198 1411
york 641 1649 3285 433
they 1379 1972 894 1745
not 1559 1859 1084 1402
against 1376 2430 1245 834
say 2107 642 1316 1789
than 1409 949 1869 1603
about 1145 1066 2029 1589
who 2070 1823 763 1151
were 2536 1448 1082 661
into 1495 1396 1080 1684
presid 4010 228 883 437
unit 1937 1304 1620 649
quot 1232 993 1962 1318
been 1673 1356 816 1583
out 1244 1950 903 1285
million 587 558 2595 1545
nation 2354 1148 1093 687
had 1429 1991 997 721
corp 97 24 2976 1915
price 346 51 3980 631
time 776 1778 1133 1239
plan 1249 330 1756 1547
when 906 2204 714 1026
govern 2548 130 1424 698
sunday 1899 2453 280 160
offici 2772 467 800 737
oil 580 16 4049 94
day 1521 1471 946 771
secur 1839 180 874 1799
would 1299 923 1461 900
group 1394 351 1928 883
which 1018 696 1180 1646
today 1201 939 1095 1253
peopl 2769 199 498 1007
announc 552 559 1251 2088
three 1556 1471 712 634
servic 334 65 1207 2755
team 232 3441 99 425
could 1018 806 898 1439
market 251 51 2222 1559
month 975 672 1523 862
iraq 3688 23 265 54
win 422 3223 175 191
saturday 1522 2095 201 159
no 694 2015 685 582
kill 3725 106 35 100
night 568 3035 150 154
percent 271 88 2958 557
open 497 1834 748 778
softwar 21 0 708 3090
end 1113 1234 877 502
or 705 652 847 1515
use 587 419 515 2195
minist 3261 34 337 70
next 723 858 923 1183
season 95 2986 376 187
second 561 1919 693 433
busi 255 104 1755 1476
other 1077 439 802 1234
microsoft 14 0 431 3094
intern 934 647 1137 781
countri 2055 300 688 445
comput 49 20 608 2803
lead 559 1990 390 522
back 630 1441 736 625
make 576 757 693 1396
some 711 539 887 1208
expect 504 500 1647 663
share 128 187 2269 729
network 171 1307 481 1302
take 626 1017 771 836
internet 109 15 450 2672
help 659 605 873 1076
technolog 146 5 760 2253
record 381 940 1145 688
stock 236 26 2645 238
off 642 1112 735 650
may 548 443 1008 1125
can 435 703 503 1480
system 177 44 566 2330
washington 684 609 1119 702
all 660 1062 471 897
american 970 1005 756 348
billion 237 27 2230 583
sale 101 58 2245 668
most 774 753 533 1007
research 171 7 1398 1461
leader 2289 301 212 210
citi 1568 719 381 334
2004 548 649 678 1124
former 1104 943 742 207
releas 880 205 407 1491
victori 306 2476 82 39
final 373 1848 314 356
home 776 1023 523 544
feder 342 349 1545 630
offer 307 244 1010 1268
if 647 829 595 758
elect 2289 53 257 202
manag 103 1048 746 898
start 396 1420 462 511
top 762 835 711 474
bank 565 108 1945 145
call 1065 394 439 858
attack 1986 124 213 429
player 52 1918 116 666
forc 1743 262 412 328
giant 143 605 1154 839
news 656 313 988 772
run 322 1542 241 583
product 139 31 1157 1347
european 840 391 983 451
trade 396 264 1658 346
befor 778 860 542 477
four 826 1033 444 346
oper 488 59 1003 1088
major 612 672 741 596
move 531 631 788 655
leagu 88 2460 14 22
show 629 358 966 625
maker 64 21 1492 1001
san 140 798 504 1135
just 385 972 452 762
like 371 713 617 866
afp 1860 161 327 208
accord 527 261 717 1036
set 606 701 572 662
get 340 835 433 929
industri 204 15 1241 1038
down 559 710 777 451
profit 69 12 2174 234
play 160 1925 96 306
what 484 680 402 892
you 92 645 416 1290
deal 450 396 1038 549
execut 214 123 1484 606
prime 2250 38 86 53
includ 752 353 511 785
chief 549 226 1211 413
third 306 920 847 303
china 857 256 780 455
develop 259 53 475 1559
bush 1625 62 392 256
sport 46 2108 81 99
made 533 845 407 538
while 610 606 614 485
court 805 285 748 473
dure 692 835 394 375
coach 27 2243 11 3
least 1456 306 294 220
now 309 617 421 926
onlin 44 185 409 1633
between 769 560 489 453
agre 530 285 1138 310
launch 381 75 318 1472
gener 633 243 884 484
there 577 797 307 553
largest 233 20 1469 504
search 184 92 286 1651
point 129 1621 270 193
work 576 262 483 882
hit 502 944 496 254
olymp 161 1983 19 31
london 530 497 878 288
co 61 17 1765 349
10 407 736 391 653
them 641 538 309 690
talk 1183 319 454 220
seri 320 1485 96 272
phone 86 50 446 1574
cup 46 2086 8 7
champion 96 1985 15 18
charg 682 425 664 336
british 1144 289 360 305
way 431 592 349 709
test 363 1088 124 505
anoth 413 738 471 441
iraqi 1996 1 49 12
her 677 888 298 195
polic 1660 170 63 147
sinc 575 624 439 399
high 342 284 1107 303
lta 1 1 1775 254
won 266 1244 280 228
look 233 699 460 618
south 972 588 261 183
cut 251 124 1318 293
close 427 425 796 335
union 739 145 987 110
39t 96 1069 386 427
palestinian 1968 3 2 4
continu 418 355 707 477
quarter 66 339 1169 380
head 614 678 387 274
offic 778 96 572 506
go 348 739 319 545
job 239 248 1151 305
five 521 771 289 354
sign 437 607 470 421
john 1050 381 279 219
through 526 501 334 563
power 775 164 323 659
come 303 623 379 615
music 72 21 188 1632
hope 542 564 324 481
red 163 1350 84 313
meet 686 468 546 205
him 676 992 135 94
even 406 602 357 522
part 475 245 577 572
increas 232 63 1129 444
provid 193 149 471 1051
space 60 4 63 1719
becaus 320 599 509 417
earn 79 257 1362 145
claim 589 377 381 487
onli 334 751 268 478
baghdad 1806 4 12 6
dollar 184 51 1427 152
score 119 1596 27 53
web 98 29 167 1500
left 500 1011 134 147
face 542 536 379 327
earli 548 389 470 376
mobil 71 21 346 1335
firm 117 54 1013 586
militari 1648 6 53 59
tri 625 430 266 444
warn 652 121 549 427
rule 628 220 572 328
so 238 666 268 573
bid 286 335 814 305
return 436 836 235 225
bomb 1646 27 20 36
follow 488 494 422 323
north 1020 246 227 228
rate 107 49 1380 184
under 638 280 431 370
loss 93 650 846 123
india 795 433 292 188
mani 424 284 385 610
right 506 711 198 286
rose 119 95 1376 109
consum 70 1 922 703
rival 302 300 604 483
give 373 499 333 482
2 158 332 493 698
beat 129 1312 154 84
drug 244 310 934 190
support 600 150 259 663
buy 78 56 1126 400
hold 498 286 602 273
japan 706 198 407 345
investor 163 12 1334 139
still 421 498 347 382
file 111 127 683 724
ago 473 404 311 443
war 1183 50 139 252
demand 555 48 770 248
number 275 347 384 615
reach 332 540 410 337
store 37 18 900 647
1 120 676 534 269
user 15 3 98 1479
retail 30 4 1234 325
championship 46 1532 3 9
cost 120 102 999 358
wireless 1 0 549 1019
recent 333 190 536 509
street 400 46 957 163
program 486 148 198 730
latest 324 149 358 723
man 565 558 75 346
biggest 192 216 910 225
un 1443 2 17 79
region 1078 30 265 162
data 45 3 738 739
agenc 709 84 254 474
associ 193 558 344 425
result 317 195 637 368
googl 21 2 362 1129
growth 112 8 1175 219
put 336 498 319 357
airlin 161 29 1247 73
athen 202 1276 9 22
want 409 436 252 410
australia 400 714 296 97
rise 216 44 1042 199
boston 90 1046 302 52
do 253 387 277 568
commun 202 41 543 699
public 362 96 585 433
big 126 559 376 410
car 835 159 314 159
vote 839 114 244 269
post 251 177 783 255
chang 355 268 372 470
line 157 243 535 529
england 128 1158 121 55
race 233 1000 87 133
remain 410 394 396 252
higher 160 22 1157 112
isra 1406 20 6 19
allow 313 202 264 671
how 229 328 278 610
custom 37 7 452 949
foreign 1118 15 247 62
sell 85 38 804 513
footbal 29 1342 26 42
rais 264 76 897 199
found 474 209 219 531
air 500 108 623 201
where 621 341 153 310
round 165 1064 77 115
west 775 458 101 86
turn 296 449 258 416
global 235 22 655 506
site 288 58 143 928
nuclear 1338 0 18 59
much 152 383 450 425
financi 99 86 1037 183
sever 445 182 326 451
issu 481 114 398 410
six 460 514 225 203
20 318 543 284 255
econom 331 14 1000 52
pay 140 109 856 292
window 44 19 80 1244
effort 486 112 338 448
becom 263 388 269 459
version 44 26 89 1218
nearli 376 174 491 334
milit 1362 3 5 5
held 574 346 276 170
futur 184 202 639 335
need 263 401 286 408
name 224 452 264 415
economi 224 5 1053 62
fire 612 353 204 175
despit 419 279 435 208
angel 136 800 186 219
contract 57 665 425 194
presidenti 1010 12 184 133
press 781 238 139 177
took 283 592 269 191
fell 91 85 1118 40
engin 147 37 200 947
gold 94 857 334 46
ibm 4 0 268 1055
univers 63 388 190 685
fight 637 291 153 237
place 277 663 155 221
troop 1269 4 21 21
francisco 38 454 399 423
i 95 406 166 642
past 224 479 280 324
hous 657 54 388 208
key 407 150 455 294
worker 634 7 542 118
should 354 252 338 354
defens 400 645 143 109
near 695 107 331 164
your 52 153 271 821
also 243 277 290 485
ani 360 378 228 325
mark 380 453 266 190
america 162 134 490 501
commiss 303 35 671 274
investig 502 139 453 189
sox 47 1204 15 5
concern 287 113 664 202
sourc 320 108 226 604
begin 301 281 279 390
around 289 290 219 451
appl 5 11 84 1147
titl 44 1022 28 151
russian 557 197 312 175
gain 144 93 809 195
parti 1020 65 62 91
keep 243 349 340 305
scientist 123 0 33 1080
good 146 392 396 292
miss 343 673 105 105
here 353 460 161 250
agreement 297 135 483 309
tokyo 359 43 629 192
campaign 659 134 162 267
chicago 60 602 492 66
capit 755 96 256 108
possibl 353 193 389 277
ahead 405 261 411 129
both 247 377 247 332
pc 6 2 152 1043
order 390 125 433 255
strong 233 187 648 135
hurrican 348 148 514 191
polit 901 29 121 147
match 52 1046 47 52
wall 162 35 874 125
interest 116 88 794 194
men 434 628 44 85
free 260 274 177 476
chip 32 23 352 779
pass 217 698 107 163
octob 215 136 470 364
drop 168 197 628 191
fund 119 30 884 150
gaza 1176 6 1 0
11 350 425 314 93
receiv 192 487 276 225
accus 699 131 214 136
long 190 409 213 366
step 361 194 311 310
fall 165 186 625 199
author 677 55 196 244
septemb 188 129 577 278
australian 437 354 290 89
europ 253 183 373 359
late 299 335 333 197
own 184 235 324 421
field 89 768 179 126
bill 237 274 314 337
media 247 139 350 425
video 186 30 117 824
appear 361 329 162 303
design 77 55 157 859
corpor 53 14 738 338
depart 217 56 529 341
member 565 185 199 194
decis 307 367 273 196
russia 605 204 221 109
lower 107 56 829 144
seven 428 415 156 135
center 181 350 163 440
ad 159 294 265 415
build 330 91 309 402
franc 508 319 175 128
confer 239 468 115 306
again 181 429 291 224
2005 97 249 392 383
school 548 285 77 211
such 225 89 313 492
devic 55 0 208 855
per 92 66 706 252
profil 20 6 973 116
aim 354 59 215 486
might 206 356 229 318
battl 353 212 255 281
rebel 1038 15 40 2
electron 39 13 330 708
peac 1018 20 26 25
find 195 156 225 510
fourth 149 532 257 148
whether 354 205 294 230
case 319 174 294 293
control 318 131 298 332
half 161 380 298 237
star 143 605 83 244
oracl 4 2 514 554
digit 15 4 176 877
she 259 472 208 133
french 684 149 153 84
server 3 2 46 1018
well 157 301 222 385
crude 86 10 959 8
michael 111 561 275 115
approv 284 64 520 190
propos 324 109 387 237
30 287 381 212 176
target 301 98 331 324
death 849 70 35 99
invest 44 29 837 142
inform 212 62 223 555
12 241 392 223 195
fan 56 734 38 220
person 196 123 218 511
lo 130 495 186 236
leav 360 325 194 157
novemb 228 105 366 336
northern 762 58 135 79
canadian 602 103 214 115
creat 136 65 320 512
southern 630 246 75 80
reserv 76 112 801 42
japanes 387 87 328 225
board 132 187 523 185
hand 298 385 150 193
florida 214 491 184 137
club 51 879 64 30
told 397 252 202 172
fail 319 248 293 162
boost 160 53 571 236
suppli 132 15 707 165
st 73 752 53 140
produc 164 129 507 217
pakistan 823 169 20 3
posit 183 390 249 189
central 498 89 334 90
due 207 152 460 191
yanke 58 933 3 16
improv 145 113 360 391
energi 190 37 655 124
ask 257 221 257 270
email 20 10 82 893
britain 505 181 202 117
televis 333 171 209 292
away 207 410 143 242
without 211 343 160 287
see 184 262 193 354
thirdquart 24 6 883 80
intel 8 0 197 782
armi 801 20 133 30
best 114 488 164 216
soldier 924 20 10 26
weekend 285 415 213 64
across 356 80 202 339
littl 139 329 281 225
base 268 110 174 421
applic 26 4 128 813
analyst 114 21 549 284
die 604 173 34 155
shot 320 523 65 57
injur 608 341 7 8
administr 336 21 347 258
california 47 289 226 400
visit 623 206 54 78
amp 25 48 781 106
15 229 232 279 219
hostag 945 1 3 8
alleg 436 123 252 144
women 321 462 72 95
question 256 260 185 249
regul 49 24 658 218
account 92 25 607 223
grow 179 51 347 366
nasa 9 0 3 931
perform 89 319 249 285
judg 274 114 360 193
stop 327 237 170 206
problem 141 182 189 427
life 287 192 177 283
iran 885 15 20 17
exchang 111 56 640 130
challeng 244 332 157 203
israel 874 24 14 23
organ 253 112 265 303
arrest 598 129 57 149
peoplesoft 5 0 526 401
uk 125 17 400 389
forecast 38 15 768 110
chairman 128 105 544 153
morn 233 302 240 154
insur 37 7 843 39
lost 140 455 195 136
success 165 309 131 321
sun 30 183 74 639
caus 347 91 194 292
complet 150 384 154 236
decid 233 283 214 194
hour 391 228 107 197
straight 74 620 205 24
strike 453 109 305 55
prepar 402 189 135 195
protect 195 40 268 418
medal 66 843 0 11
ralli 192 384 327 17
quarterli 4 0 840 76
histori 137 483 109 189
push 241 84 306 286
low 69 96 649 102
competit 46 261 326 280
democrat 800 9 54 50
senior 524 131 145 112
houston 34 713 124 39
live 283 118 150 358
drive 134 237 159 378
did 190 429 141 148
oct 364 211 159 172
goal 57 729 42 78
trial 403 101 261 140
believ 274 306 73 251
law 343 48 251 258
revenu 22 10 586 282
attempt 319 169 165 246
touchdown 9 889 0 1
studi 77 23 162 635
few 165 244 148 340
led 227 293 252 121
among 254 182 194 263
join 243 255 148 245
wound 827 34 15 13
area 455 62 162 209
korea 672 74 60 80
tax 132 11 697 46
thousand 492 59 101 232
critic 410 114 109 250
eight 310 359 102 112
divis 82 460 191 148
those 173 187 161 359
stadium 27 829 19 2
suspect 736 22 27 89
net 28 202 403 240
action 245 249 192 187
spend 123 58 479 211
health 308 38 354 168
almost 215 185 255 213
bring 238 158 161 308
defeat 116 708 21 20
david 108 579 91 87
terror 783 3 31 47
grand 82 623 53 106
aid 653 11 131 68
advanc 83 193 177 410
barrel 81 5 763 11
kerri 669 51 74 66
arm 566 95 132 67
linux 2 0 26 831
side 154 496 88 119
basebal 25 789 21 21
list 113 292 180 269
human 313 35 39 464
3 72 293 294 190
send 244 133 210 260
access 106 5 133 603
inning 70 776 1 0
we 105 276 99 366
threaten 485 73 142 145
began 339 194 155 156
18 179 274 276 113
consid 241 165 251 183
food 192 12 484 149
fear 365 84 291 96
william 57 666 62 47
earlier 222 140 256 213
secretari 625 21 139 42
ltd 23 6 620 176
nov 303 196 148 178
same 130 218 154 322
came 191 407 124 102
small 167 55 170 432
manufactur 51 19 459 293
emerg 271 99 236 215
toward 301 154 206 159
seek 293 76 282 164
east 367 335 69 44
got 96 432 136 150
toronto 81 442 253 37
popular 141 35 167 466
explos 690 23 25 71
better 103 230 172 301
behind 207 287 122 187
arafat 801 0 0 2
less 146 197 216 243
amid 315 31 400 52
level 99 86 459 154
texa 94 437 138 128
threat 359 73 105 259
fuel 141 9 525 120
declin 70 54 541 129
august 115 70 468 140
larg 229 47 247 269
defend 154 498 64 76
lawsuit 57 43 330 359
prison 571 16 143 59
21 152 423 128 84
germani 297 203 173 114
cent 58 26 599 102
flight 135 35 254 360
quarterback 6 778 0 0
struggl 157 207 328 89
alreadi 134 229 170 247
darfur 777 0 2 1
publish 131 40 254 355
station 308 32 88 352
negoti 406 104 230 40
afghanistan 767 2 4 6
privat 121 46 318 292
initi 114 40 347 275
unveil 46 48 125 555
yard 34 723 4 13
pari 374 183 116 100
bankruptci 20 5 713 35
4 72 285 226 189
main 317 95 210 148
confirm 266 175 167 161
yet 126 242 155 246
term 339 153 178 98
too 109 286 135 238
offens 260 475 8 25
indian 345 252 87 81
14 187 238 202 137
famili 367 98 148 149
extend 166 168 229 198
project 118 21 199 422
canada 157 174 327 102
euro 64 37 628 31
process 265 43 125 326
real 66 405 146 141
local 247 106 182 222
featur 28 83 46 598
acquir 28 70 402 255
opposit 624 37 44 49
watch 201 226 138 189
13 186 258 175 134
current 95 94 279 285
carri 347 163 55 188
bodi 414 146 54 136
gave 172 302 185 88
pull 215 275 157 99
sept 353 110 176 107
arsen 40 674 4 26
50 168 119 331 125
import 164 106 241 229
georg 395 120 144 79
doubl 90 281 233 134
outsid 399 106 103 129
chanc 136 417 76 108
lose 69 433 148 86
tour 81 600 22 32
takeov 27 81 460 166
ban 290 215 108 121
151 244 251 26 213
within 200 141 154 239
director 140 149 292 151
clear 200 203 193 135
german 256 123 189 163
financ 142 52 492 44
25 161 226 215 128
cash 53 42 482 151
ever 120 215 126 267
insurg 713 2 8 5
western 534 79 55 57
sudan 720 1 3 1
chines 305 80 227 113
storm 430 112 94 89
island 441 93 43 147
event 114 386 60 164
old 122 353 81 167
expand 111 27 296 288
soon 159 116 184 262
nine 238 292 111 80
desktop 1 0 33 685
cell 63 10 98 547
white 254 264 71 129
employe 119 10 452 136
injuri 75 588 18 35
radio 105 58 256 295
onc 147 210 128 228
break 176 243 154 137
appeal 264 111 187 148
replac 145 212 158 195
activ 235 95 198 182
each 113 253 134 209
african 520 82 75 31
ga 198 42 373 95
paul 183 361 74 89
17 172 265 162 108
16 176 267 150 113
travel 153 80 257 214
until 168 212 127 196
promis 260 87 129 227
violenc 623 19 42 19
messag 97 65 54 487
avail 29 58 61 553
jump 50 122 436 93
legal 141 38 236 285
tie 215 373 66 46
finish 60 540 65 33
5 102 256 225 111
weapon 596 13 24 60
enough 102 249 150 191
minut 78 514 28 70
met 207 374 51 58
money 105 119 287 178
far 146 181 179 183
muslim 677 1 6 4
bowl 12 658 10 7
yasser 685 0 0 2
train 338 201 51 96
polici 289 58 216 123
taken 272 145 105 163
involv 239 148 158 140
hospit 412 103 121 49
standard 48 36 159 441
arriv 335 163 72 114
motor 38 61 522 59
let 80 148 122 330
manchest 20 636 17 7
annual 115 64 353 147
guard 311 303 27 38
bay 135 466 44 32
decad 281 78 173 144
council 440 128 54 54
soni 8 5 132 530
green 140 434 45 54
then 112 308 75 178
seem 98 258 104 212
hundr 375 42 104 150
africa 303 237 70 61
100 203 165 152 150
great 119 274 63 213
know 57 301 91 217
suggest 192 71 189 214
pressur 249 96 237 84
stake 38 102 456 70
schedul 129 256 115 166
stand 170 310 101 85
link 254 73 77 261
worri 79 68 415 102
urg 432 31 107 94
dead 539 51 18 56
export 112 1 516 33
thing 52 302 96 211
effect 97 84 277 203
introduc 47 80 75 459
strip 549 65 32 15
coast 361 130 72 96
reduc 101 40 361 155
heart 207 119 188 142
terrorist 555 10 37 53
beij 375 110 94 76
park 66 438 69 81
survey 73 8 332 238
pm 68 396 44 143
protest 491 55 74 30
delay 177 78 191 203
slow 72 66 395 115
candid 427 75 57 89
miami 50 567 12 19
host 56 343 45 203
seattl 15 445 56 131
went 153 297 95 101
spain 130 431 40 45
save 122 132 234 157
figur 162 129 245 107
card 33 167 155 288
toni 466 135 21 20
